#: table_doi: 10.17182/hepdata.90640.v1/t23
#: name: Statistical covariance matrix
#: description: Figure 8, statistical covariance matrix for normalized differential cross sections (note, the figure in the paper is for the corresponding correlation matrix)
#: data_file: statcov_normdiffxsec_AllVars.yaml
#: keyword cmenergies: 13000.0
#: keyword reactions: P P --> TOP TOPBAR X
#: RE,P P --> TOP TOPBAR X
#: SQRT(S) [GEV],13000
Bin,Bin,Statistical covariance for all normalized differential cross section bins
$\cos\varphi_{\mathrm{lab}}$ bin 3,$\cos\theta_{2}^{r*}$ bin 4,-6.021033715e-07
$\cos\varphi_{\mathrm{lab}}$ bin 4,$\cos\theta_{2}^{r*}$ bin 4,-4.978459619e-07
$\cos\varphi_{\mathrm{lab}}$ bin 5,$\cos\theta_{2}^{r*}$ bin 4,1.956171635e-07
$\cos\varphi_{\mathrm{lab}}$ bin 6,$\cos\theta_{2}^{r*}$ bin 4,2.631322288e-06
$|\Delta\phi_{\ell\ell}|$ bin 1,$\cos\theta_{2}^{r*}$ bin 4,4.705401628e-07
$|\Delta\phi_{\ell\ell}|$ bin 2,$\cos\theta_{2}^{r*}$ bin 4,2.366681604e-07
$|\Delta\phi_{\ell\ell}|$ bin 3,$\cos\theta_{2}^{r*}$ bin 4,1.073550664e-07
$|\Delta\phi_{\ell\ell}|$ bin 4,$\cos\theta_{2}^{r*}$ bin 4,5.948773529e-07
$|\Delta\phi_{\ell\ell}|$ bin 5,$\cos\theta_{2}^{r*}$ bin 4,-5.563146779e-07
$|\Delta\phi_{\ell\ell}|$ bin 6,$\cos\theta_{2}^{r*}$ bin 4,-8.531260645e-07
$\cos\theta_{1}^{k}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-7.557884163e-07
$\cos\theta_{1}^{k}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,-5.091436185e-08
$\cos\theta_{1}^{k}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-2.610337398e-07
$\cos\theta_{1}^{k}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,1.21935644e-06
$\cos\theta_{1}^{k}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,1.596612524e-06
$\cos\theta_{1}^{k}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-1.748232447e-06
$\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-2.153633896e-06
$\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,5.456705156e-06
$\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-7.471793272e-06
$\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-4.116080519e-06
$\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,1.24409321e-05
$\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-4.156129573e-06
$\cos\theta_{1}^{r}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,1.303322658e-06
$\cos\theta_{1}^{r}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,-3.289551569e-07
$\cos\theta_{1}^{r}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-1.122717098e-06
$\cos\theta_{1}^{r}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,6.277417582e-09
$\cos\theta_{1}^{r}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,1.321879928e-06
$\cos\theta_{1}^{r}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-1.179807748e-06
$\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-1.003796236e-05
$\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,4.093237854e-05
$\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-2.687925423e-05
$\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-2.711323966e-05
$\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,3.242357333e-05
$\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-9.325495624e-06
$\cos\theta_{1}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,9.192489519e-07
$\cos\theta_{1}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,9.97946391e-08
$\cos\theta_{1}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,7.602694658e-07
$\cos\theta_{1}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-7.62764148e-07
$\cos\theta_{1}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,-1.499463741e-06
$\cos\theta_{1}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,4.829148326e-07
$\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,9.43688149e-07
$\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,7.011838824e-06
$\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-7.986325e-06
$\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-1.041152172e-05
$\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,7.189288469e-06
$\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,3.253031275e-06
$\cos\theta_{1}^{k*}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-3.177110047e-06
$\cos\theta_{1}^{k*}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,-1.857791908e-07
$\cos\theta_{1}^{k*}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,4.194677655e-08
$\cos\theta_{1}^{k*}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,6.928672439e-07
$\cos\theta_{1}^{k*}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,1.447273934e-06
$\cos\theta_{1}^{k*}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,1.180801283e-06
$\cos\theta_{2}^{k*}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-7.890516307e-08
$\cos\theta_{2}^{k*}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,8.733979711e-06
$\cos\theta_{2}^{k*}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-5.99867932e-06
$\cos\theta_{2}^{k*}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-6.756030824e-06
$\cos\theta_{2}^{k*}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,8.039385876e-06
$\cos\theta_{2}^{k*}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-3.93975028e-06
$\cos\theta_{1}^{r*}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,1.566334987e-06
$\cos\theta_{1}^{r*}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,1.129727699e-06
$\cos\theta_{1}^{r*}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-1.939119954e-06
$\cos\theta_{1}^{r*}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,7.954781467e-07
$\cos\theta_{1}^{r*}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,1.395957619e-07
$\cos\theta_{1}^{r*}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-1.692016641e-06
$\cos\theta_{2}^{r*}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,3.327560639e-06
$\cos\theta_{2}^{r*}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,-8.430250557e-06
$\cos\theta_{2}^{r*}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-5.109397674e-05
$\cos\theta_{2}^{r*}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-1.738045359e-06
$\cos\theta_{2}^{r*}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,7.987651872e-05
$\cos\theta_{2}^{r*}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-2.194180671e-05
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-2.372292606e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,3.472723173e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-1.343264451e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-5.328774097e-07
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,1.928873932e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-1.153162639e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-5.267471275e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,1.075891196e-05
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-3.983953769e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-5.620132357e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,7.989188891e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-3.876543451e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-3.35298345e-07
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,3.116856094e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-1.331542454e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-4.331799557e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,2.697865766e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,1.839184951e-07
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-5.178464723e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,5.573273751e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-1.831675247e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-1.646849931e-07
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,6.307933015e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-4.706381803e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-4.348118516e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,6.004225556e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-6.410890274e-07
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-2.584875471e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,4.676734177e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-3.106876718e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-1.287907935e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,7.12050612e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-4.321393108e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-4.933261448e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,4.910059344e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}+\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-1.488002972e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-1.717891715e-07
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,4.740176195e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-4.923391732e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-4.246545182e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,5.325130488e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{r}-\cos\theta_{1}^{r}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-7.235805986e-07
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-2.672317423e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,9.262949896e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-6.380221981e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-6.522578211e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,8.975693965e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}+\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-2.663526247e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-9.090713541e-07
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,8.350370439e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-7.196557132e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-6.740785581e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,8.64136791e-06
$\cos\theta_{1}^{n}\cos\theta_{2}^{k}-\cos\theta_{1}^{k}\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-2.145324283e-06
$\cos\varphi$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-6.393446352e-07
$\cos\varphi$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,-4.238983799e-07
$\cos\varphi$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,-1.149037944e-07
$\cos\varphi$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,1.235289769e-06
$\cos\varphi$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,1.375915671e-07
$\cos\varphi$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-1.947345265e-07
$\cos\varphi_{\mathrm{lab}}$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,1.17409257e-07
$\cos\varphi_{\mathrm{lab}}$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,1.35616923e-06
$\cos\varphi_{\mathrm{lab}}$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,9.838014598e-07
$\cos\varphi_{\mathrm{lab}}$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,3.685691685e-07
$\cos\varphi_{\mathrm{lab}}$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,6.42954849e-07
$\cos\varphi_{\mathrm{lab}}$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-3.468903965e-06
$|\Delta\phi_{\ell\ell}|$ bin 1,$\cos\theta_{2}^{r*}$ bin 5,-1.837898376e-07
$|\Delta\phi_{\ell\ell}|$ bin 2,$\cos\theta_{2}^{r*}$ bin 5,1.059701933e-08
$|\Delta\phi_{\ell\ell}|$ bin 3,$\cos\theta_{2}^{r*}$ bin 5,3.518999262e-07
$|\Delta\phi_{\ell\ell}|$ bin 4,$\cos\theta_{2}^{r*}$ bin 5,-1.373663168e-07
$|\Delta\phi_{\ell\ell}|$ bin 5,$\cos\theta_{2}^{r*}$ bin 5,8.492795719e-07
$|\Delta\phi_{\ell\ell}|$ bin 6,$\cos\theta_{2}^{r*}$ bin 5,-8.90620363e-07
$\cos\theta_{1}^{k}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,-6.556264055e-07
$\cos\theta_{1}^{k}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,7.465764514e-07
$\cos\theta_{1}^{k}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,1.194709427e-07
$\cos\theta_{1}^{k}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,-9.30687427e-07
$\cos\theta_{1}^{k}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,-1.101077567e-06
$\cos\theta_{1}^{k}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,1.821344006e-06
$\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,-9.111687952e-06
$\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,2.409669828e-06
$\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,8.345640213e-06
$\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,7.474250354e-06
$\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,5.722723546e-07
$\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,-9.690144798e-06
$\cos\theta_{1}^{r}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,1.142884393e-06
$\cos\theta_{1}^{r}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,-1.025299477e-06
$\cos\theta_{1}^{r}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,-3.553001114e-07
$\cos\theta_{1}^{r}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,9.298392423e-07
$\cos\theta_{1}^{r}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,-6.31430086e-07
$\cos\theta_{1}^{r}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,-6.069396118e-08
$\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,2.340752035e-05
$\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,-1.37720844e-05
$\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,-1.083308632e-05
$\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,-8.211235735e-06
$\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,-9.847079905e-06
$\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,1.925596601e-05
$\cos\theta_{1}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,-3.296283325e-08
$\cos\theta_{1}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,4.59703522e-07
$\cos\theta_{1}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,-6.838514349e-07
$\cos\theta_{1}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,8.910332929e-07
$\cos\theta_{1}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,7.395422702e-07
$\cos\theta_{1}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,-1.373464817e-06
$\cos\theta_{2}^{n}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,-7.752026261e-06
$\cos\theta_{2}^{n}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,-4.261120069e-07
$\cos\theta_{2}^{n}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,7.809043176e-06
$\cos\theta_{2}^{n}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,9.767836586e-06
$\cos\theta_{2}^{n}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,-6.168639316e-07
$\cos\theta_{2}^{n}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,-8.781877561e-06
$\cos\theta_{1}^{k*}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,-1.303872636e-06
$\cos\theta_{1}^{k*}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,-7.748837084e-07
$\cos\theta_{1}^{k*}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,-1.140263761e-06
$\cos\theta_{1}^{k*}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,3.788347382e-07
$\cos\theta_{1}^{k*}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,3.990325102e-07
$\cos\theta_{1}^{k*}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,2.441152857e-06
$\cos\theta_{2}^{k*}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,-1.164332115e-05
$\cos\theta_{2}^{k*}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,2.31233371e-06
$\cos\theta_{2}^{k*}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,8.250261831e-06
$\cos\theta_{2}^{k*}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,7.592130618e-06
$\cos\theta_{2}^{k*}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,1.882253609e-06
$\cos\theta_{2}^{k*}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,-8.393658621e-06
$\cos\theta_{1}^{r*}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,9.215368417e-07
$\cos\theta_{1}^{r*}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,-4.856560792e-07
$\cos\theta_{1}^{r*}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,9.383597558e-07
$\cos\theta_{1}^{r*}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,-4.15290581e-07
$\cos\theta_{1}^{r*}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,-1.014398611e-06
$\cos\theta_{1}^{r*}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,5.544867357e-08
$\cos\theta_{2}^{r*}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,-1.643681821e-05
$\cos\theta_{2}^{r*}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,1.269294108e-07
$\cos\theta_{2}^{r*}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,5.352961367e-06
$\cos\theta_{2}^{r*}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,-2.33083709e-05
$\cos\theta_{2}^{r*}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,-2.194180671e-05
$\cos\theta_{2}^{r*}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,5.620710504e-05
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,-3.227568358e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,-5.095396203e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,8.292762752e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,5.235099697e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,-3.830175504e-06
$\cos\theta_{1}^{k}\cos\theta_{2}^{k}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,-1.374722384e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 1,$\cos\theta_{2}^{r*}$ bin 6,7.095809188e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 2,$\cos\theta_{2}^{r*}$ bin 6,7.230054582e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 3,$\cos\theta_{2}^{r*}$ bin 6,-1.092198485e-05
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 4,$\cos\theta_{2}^{r*}$ bin 6,-1.29686909e-05
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 5,$\cos\theta_{2}^{r*}$ bin 6,5.117660915e-06
$\cos\theta_{1}^{r}\cos\theta_{2}^{r}$ bin 6,$\cos\theta_{2}^{r*}$ bin 6,4.447151069e-06
